Name,  Meaning,Gender
Nipun,   Expert,M
Nirad,   Given by water; Cloud,M
Niraj,   Lotus flower,M
Nirajit,   Illuminated,M
Niral,   Unique,M
Niramay,   Without blemish,M
Niramitra,   Son of pandava Sahadeva,M
Niranjan,   Simple; Name of a river; Goddess Durga; The night of the full moon,M
Nirav,   Without sound; Quiet,M
Nirbhay,   Fearless,M
Nirbhik,   Fearless,M
Nirek,   Superior,M
Nirgranth,   Simple behaviour,M
Nirijhar,   Waterful,M
Nirish,   Free; Without any owner,M
Nirmal,   Clean; Pure,M
Nirmalya,   Pure,M
Nirmanyu,   Free of anger,M
Nirmay,   Pure,M
Nirmeet,   Created,M
Nirmit,   Created,M
Nirmohi,   Unattached,M
Nirupam,   Without comparison,M
Nirush,   A king from the Mahabharat,M
Nirvaan,   Ultimate bliss,M
Nirvan,   Liberation,M
Nisarg,   Nature,M
Nischal,   Calm,M
Nischith,   Fixed,M
Nish,   Cute,M
Nishan,   Symbol,M
Nishanath,   Moon,M
Nishant,   Dawn,M
Nishanth,   Peaceful; Dawn,M
Nishat,   A tree,M
Nishesh,   Entire,M
Nishikanta,   The moon,M
Nishil,   Night,M
Nishinath,   Lord of night,M
Nishit,   Midnight,M
Nishita,   Sharp,M
Nishith,   Night,M
Nishkama,   Selfless,M
Nishkarsh,   Result,M
Nishok,   Happy,M
Nissim,   Unbounded,M
Niswarth,   No selfishness,M
Niteesh,   God of law; One well versed in law,M
Nitesh,   Master of the right path,M
Nithik,   Master of justice,M
Nithilan,   Brilliant like a pearl,M
Nithin,   Leader of good way,M
Nitin,   Master of the right path,M
Nitish,   Master of the right path,M
Nitya,   Very good,M
Nityagopal,   Constant,M
Nityanand,   Perennially happy,M
Nityananda,   Lord Krishna; Always happy,M
Nityanta,   Lord Vishnu,M
Niveransh,   Moon rays,M
Nivrutti,   Separation from world,M
Nixit,   Certain,M
Niyath,   Behaviour,M
Nooh,   A Prophet's name,M
Noori,   Shining,M
Nridev,   King amongst men,M
Nrip,   King,M
Nripa,   King,M
Nripendra,   King of kings,M
Nripesh,   King of kings,M
Nrupadh,   Feet of a King,M
Nu,   Positive,M
Nupur,   Anklet containing tiny bells or ghunghroo,M
Nyaay,   Justice,M
Obalesh,   Lord Shiva,M
Ogan,   Wave,M
Oha,   Meditation; True knowledge,M
Ohas,   Praise,M
Ojas,   Body strength; Lustre,M
Ojayit,   Courageous,M
Ojesh,   Light,M
Om,   The sacred syllable,M
Oma,   Life giver,M
Omair,   Problem solver,M
Omanand,   Joy of Om,M
Omar,   An era,M
Omarjeet,   Lord of OM,M
Omav,   Om avtar; Disciple of the God,M
Omeir,   Long living,M
Omesa,   Lord of OM,M
Omesh,   Lord of the Om,M
Omeshwar,   Lord of the Om,M
Omja,   Born of cosmic unity,M
Omkar,   The sound of the sacred syllable,M
Omkarnath,   Lord of Omkaar; Shiva,M
Ompati,   Master of OM,M
Omprakash,   Light of God; Light of Om,M
Omran,   Solid structure,M
Omrao,   King,M
Omswaroop,   Manifestation of divinity,M
Oni,   Shelter,M
Onkar,   God,M
Oojam,   Enthusiasm,M
Oorjit,   Powerful,M
Oppilan,   Peerless gem,M
Oppilmani,   Purest of gems,M
Paandu,   Father of the Pandavas,M
Paandurang,   A diety,M
Paaninee,   A Sanskrit grammarian,M
Paarth,   Another name of Arjuna,M
Paarthiv,   Earthly,M
Paavan,   Purifier,M
Pablo,   Little,M
Pachai,   Youthful; Resourceful,M
Pachaimani,   Youthful; Resourceful,M
Padam,   Lotus,M
Padm,   Lotus,M
Padmaj,   Lord Brahama,M
Padmakant,   Husband of lotus,M
Padmakar,   Jewel; Lord Vishnu,M
Padmal,   Lotus,M
Padman,   Lotus,M
Padmanabh,   One with lotus in his navel; Vishnu,M
Padmanabha,   Lord Vishnu,M
Padmapani,   Lord Bramha,M
Padmapati,   Lord Vishnu,M
Padmashri,   Goddess of wealth; Seated in a lotus,M
Padmayani,   Lord Brahama; Buddha,M
Padmesh,   Lord Vishnu,M
Padminish,   Lord of lotuses,M
Pahal,   Facet; Beginning initiative,M
Pakhi,   Bird,M
Pakshi,   Bird,M
Palak,   Eyelash,M
Palani,   Abode of Lord Murugan,M
Palanisami,   Another name for Lord Murugan,M
Palanivel,   Another name for Lord Murugan,M
Palash,   A flowering,M
Palin,   Protecting,M
Pallab,   New leaves,M
Pallav,   Young shoots and leaves,M
Pallavi,   Bud,M
Panav,   Prince,M
Panchal,   Lord Shiva,M
Panchanan,   Lord Shiva,M
Pandhari,   Lord Vithobha,M
Pandi,   Lord Pandi,M
Pandita,   Scholar,M
Panduranga,   One with pale white complexion; Lord Vithobha,M
Panini,   The great scholar-grammarian,M
Pankaj,   Lotus flower,M
Pankajan,   Lotus; Lord Vishnu,M
Pankajeet,   Eagle; Garuda,M
Panmoli,   Speaks sweetly,M
Panna,   Emerald,M
Pannalal,   Emerald,M
Panner,   Life of happy,M
Panshul,   Lord Shiva,M
Panvi,   Lord shiva,M
Paraashar,   A celebrated saint,M
Parag,   Pollen grains,M
Parakram,   Strength,M
Param,   The best,M
Paramartha,   Highest truth,M
Paramesh,   Lord Shiva,M
Paramhans,   Sadguru,M
Paramhansa,   Supreme soul,M
Paramjeet,   Highest success,M
Paramjit,   Heroic,M
Paranjay,   Varun; Lord of the Sea,M
Parantap,   Hero,M
Parantapa,   Conqueror; Arjuna,M
Paras,   Touchstone,M
Parashar,   An ancient,M
Parashuram,   Sixth incarnation of Lord Vishnu,M
Parasmani,   Touchstone,M
Paratpara,   Greatest of The Greats,M
Paravasu,   Name of a sage,M
Parees,   Touch stone,M
Paresh,   Supreme spirit; Supreme Lord,M
Paresha,   Lord of The Lords; A Name for Lord Rama,M
Pargat,   Appearance,M
Pari,   Charitable prince,M
Parighosh,   Loud sound,M
Pariishna,   A sweet little angel,M
Parijat,   A celestial flower,M
Pariket,   Against desire,M
Parikshit,   Name of an ancient king,M
Parimal,   Fragrance,M
Parin,   Another name for Lord Ganesha,M
Parindra,   Lion,M
Paritosh,   Contentment; Satisfaction,M
Parkash,   Light,M
Parmaarth,   Highest truth; Salvation,M
Parmeet,   Wisdom,M
Parmesh,   Lord Vishnu,M
Parminder,   God of Gods,M
Parnad,   A Brahmin in the qpics,M
Parnal,   Leafy,M
Parnik,   Creeper,M
Parth,   King; Arjun,M
Partha,   Arjun,M
Partham,   First,M
Parthiv,   Prince of Earth,M
Partik,   Man at war,M
Parvesh,   Lord of celebration,M
Parwez,   Victorious peace,M
Pascal,   Pass Over,M
Pashunath,   Lord of animals; Lord Shiva,M
Pashupati,   Lord Shiva's incarnation,M
Pashwa,   Name of a God,M
Pasupati,   Lord Shiva,M
Patag,   Sun,M
Patakin,   Holder of a banner,M
Patanjali,   Famous Yoga philosopher,M
Pathik,   A traveller,M
Pathin,   Traveller,M
Patoj,   Lotus,M
Patr,   Defender,M
Patralika,   New leaves,M
Paul,   Small,M
Paurav,   A descendent of King Puru,M
Pavak,   Fire,M
Pavalan,   Skilled in literature,M
Pavan,   Wind; Breeze,M
Pavanaj,   Lord Hanuman,M
Pavani,   Hanuman,M
Pavankumar,   Bhim; Hanuman; Son of the wind,M
Pavitra,   Pure,M
Payas,   Water,M
Paz,   Peace,M
Peeyush,   Nectar,M
Pehlaj,   First born,M
Perumal,   Lord Venkateshwara,M
Peter,   Rock,M
Phagun,   A Hindu month,M
Phalak,   Sky,M
Phalgun,   A month in Hindu Calendar,M
Phalguni,   Born in Falgun; A Hindu month; Arjun,M
Phani,   Snake,M
Phaninath,   Lord of serpents,M
Phanindra,   King of gods; Sesh; The divine snake,M
Phanishwar,   King of serpents,M
Phenil,   Foamy,M
Phoolendu,   Full moon,M
Pihu,   Chattering of bird,M
Piki,   Cuckoo,M
Pilar,   Pillar; Fountain base,M
Pinak,   Shiva's bow,M
Pinaki,   Lord Krishna,M
Pinakin,   Lord Shiva,M
Pingal,   A reputed sage,M
Pintu,   Rocky,M
Pitambar,   Lord Vishnu,M
Pival,   A tree,M
Piyali,   A tree,M
Piyush,   Nectar; Milk,M
Pogula,   Lord Venkateswara,M
Ponnan,   Precious,M
Poojan,   Worship,M
Poojit,   Worshipped,M
Poonish,   Lord of the pious,M
Pooran,   Complete,M
Poorna,   Complete,M
Poornanand,   Complete joy,M
Poorvaj,   Elder; Ancestorsn,M
Poorvansh,   Purv disha; Sun,M
Poorvash,   Moon,M
Porush,   Man power,M
Posh,   Month in Hindu calender,M
Prabal,   Coral,M
Prabhakar,   The sun,M
Prabhanjan,   Dust storm,M
Prabhas,   Lustrous,M
Prabhat,   Dawn,M
Prabhav,   Effect,M
Prabhjyot,   Light of God,M
Prabhu,   God,M
Prabir,   Hero; Brave one Praveer,M
Prabodh,   Sound advice; Consolation,M
Prabodhan,   Knowledge,M
Prabuddha,   Awakened,M
Prachand,   Hard; Bold,M
Prachet,   Lord Varun,M
Prachetas,   Energy,M
Prachur,   Abundant,M
Pradarsh,   Appearance; Order,M
Pradeep,   Light; Shine,M
Pradhi,   Intelligent,M
Pradhyumn,   One who spreads love,M
Pradhyumna,   Extremely mighty,M
Pradnesh,   Lord of wisdom,M
Pradosh,   Dusk,M
Pradyot,   Lustre,M
Pradyumna,   Cupid,M
Pradyun,   Radiant,M
Praful,   Blooming,M
Prafull,   Playful In bloom,M
Prafulla,   Pleasant; Cheerful; Blooming,M
Pragun,   Straight; Honest,M
Prahalad,   Bliss,M
Prahlad,   Excess of joy,M
Prajapati,   King; Bramha,M
Prajeet,   Victorious,M
Prajesh,   Lord Brahma,M
Prajin,   Kind,M
Prajit,   Kind,M
Prajval,   Brightness,M
Prajvala,   Flame,M
Prajwal,   Bright,M
Prakalp,   Pure,M
Prakash,   Light,M
Prakat,   Mainfested,M
Praket,   Intelligence,M
Prakhar,   Smart,M
Prakher,   Intelligent,M
Prakhyat,   Famous,M
Prakrit,   Nature; Handsome,M
Prakriti,   Nature,M
Prakruth,   Nature,M
Prakul,   Good looking,M
Prakyath,   Fame,M
Pralay,   Himalay,M
Pralden,   Spreads love,M
Praman,   Standard,M
Pramath,   Horse,M
Pramesh,   Master of accurate knowledge,M
Pramit,   Consciousness,M
Pramod,   Happiness; Delight,M
Pramodan,   Lord Vishnu,M
Pramsu,   A scholar,M
Pramukh,   Head,M
Pramyan,   Inteligent,M
Pran,   Life,M
Prana,   Spirit,M
Pranad,   Lord Vishnu; Lord Brahma,M
Pranav,   The sacred syllable Om,M
Pranay,   Romance; Love,M
Praneel,   A Name for Lord Shiva,M
Pranesh,   Lord of life,M
Pranet,   Leader,M
Pranil,   Love,M
Pranit,   Modest,M
Pranjal,   Simple,M
Pranjivan,   Life,M
Prannath,   Lord of life; Husband,M
Pransu,   High; Tall,M
Pransukh,   Joy of life,M
Prasad,   Offering to god during pooja; Blessing,M
Prasanna,   Cheerful; Pleased; Happy,M
Prasanth,   Cool,M
Prasata,   Father of Draupad,M
Prasenjit,   A king in the epics,M
Prasham,   Peace,M
Prashant,   Calm and composed,M
Prashanta,   Calm,M
Prashanth,   Cool and calm,M
Prashray,   Love; Respect,M
Prasiddhi,   Accomplishment; Fame,M
Prasit,   First ray of the winter sun,M
Prasoon,   Flower,M
Prassana,   Cheerful,M
Prasun,   Blossom,M
Pratap,   Dignity; Majesty; Glory,M
Prateek,   Symbol; First word in a sentence,M
Prateep,   King; Shantanu's father,M
Prateesh,   Brave,M
Prateet,   Manifested,M
Pratha,   Trend; Custom,M
Pratham,   First,M
Prathamesh,   Lord Ganesh; Lord of the best,M
Prathmesh,   Lord Ganesha,M
Prathyush,   Dawn,M
Prathyusha,   Sunrise,M
Pratik,   Symbol,M
Pratim,   Beautiful,M
Pratiti,   Faith; Undrstanding,M
Pratosh,   Extreme delight,M
Pratul,   Plenty,M
Pratyaksh,   In front of the eyes; Saakshaat,M
Pratyus,   Before morning,M
Praval,   Fierce; Strong,M
Pravan,   Bowed down; Modest,M
Pravar,   Most excellent; Chief,M
Pravash,   Brightness; The one who likes to travel a lot,M
Praveen,   Expert; Experienced,M
Praveer,   An excellent warrior; King,M
Praver,   Chief,M
Pravin,   Expert; Skilled,M
Pravir,   Brave,M
Pravit,   Hero,M
Prayag,   Confluence of Ganga-Jamuna-Saraswati,M
Preetam,   Lover,M
Preetish,   God of love,M
Prem,   Love,M
Premal,   Full of love,M
Premanand,   Joy of love,M
Premendra,   Lover,M
Prerak,   Inspire others,M
Pretvan,   Moving along,M
Pribhakta,   Favourite of The Devotees; A Name for Lord Shiva,M
Prina,   Pleased,M
Prince,   Member of royal family,M
Princy,   Prince like,M
Prineet,   Content; Satisfied,M
Prinita,   Pleased,M
Pritam,   Lover; Beloved,M
Pritesh,   Lord of love,M
Prithish,   Lord of the world,M
Prithiv,   Piece of earth,M
Prithu,   A king from the epics; Broad; Spacious,M
Prithvi,   Earth,M
Prithvijaj,   King of the earth,M
Prithviraj,   King of the earth,M
Pritish,   Lord of love,M
Pritul,   Uncomparable,M
Privrata,   Son of Satarupa,M
Priya,   Beloved,M
Priyabrata,   Devoted to pleasing,M
Priyaka,   Loving; Deer,M
Priyam,   Beloved,M
Priyan,   Loving,M
Priyank,   Loved one,M
Priyatam,   Lover; Beloved one,M
Priyesh,   Loved by god,M
Pruthivi,   Earth,M
Pruthvij,   Son of mother earth,M
Pugal,   Glory; Fame,M
Pugalendhi,   Glorious; Admirable,M
Pujan,   The ceremony of worshipping,M
Pujesh,   Something worshipped,M
Pujit,   Worshipped,M
Pukhraj,   Topaz,M
Pulak,   Joy,M
Pulakesh,   Joyous,M
Pulastya,   An ancient,M
Pulin,   Beautiful,M
Pulish,   Name of a sage,M
Pulkit,   Happy; Thrilled; Overjoyed,M
Pundalik,   Lotus,M
Pundarik,   White lotus,M
Puneet,   Pure,M
Punit,   Pure,M
Punyabrata,   Dedicated to the good,M
Punyasloka,   Sacred verse,M
Purab,   East,M
Purahan,   Lord Shiva,M
Purajit,   Lord Shiva,M
Puran,   Complete,M
Purandar,   Lord Indra,M
Puranjay,   Lord Shiva,M
Purav,   Chanting voice from east at sunrise,M
Purnanada,   God,M
Purnendu,   Full moon,M
Purohit,   A Brahmin Priest,M
Purshottam,   Lord Vishnu,M
Puru,   Abundant; Name of a king,M
Purujit,   Conqueror of city,M
Purumitra,   Friend of city,M
Pururava,   The founder of Chandra dynasty,M
Purvansh,   Purv disha; Sun,M
Purvendu,   Name of sun,M
Pusan,   A sage,M
Pushkal,   Lord Shiva,M
Pushkar,   Lotus; A lake,M
Pushp,   Flower,M
Pushpaj,   Born from a flower,M
Pushpak,   Mythical vehicle of Lord Vishnu,M
Pushpaketu,   Kamdev; Cupid,M
Pushpesh,   Lord of flowers,M
Puskar,   Lotus,M
Puskara,   Blue lotus; Fountain,M
Puspang,   A part of flower,M
Putta,   Small baby,M
Pyarelal,   Lord Krishna,M
Pyaremohan,   Lord Krishna,M
Pyas,   Thirsty,M
Raadhesh,   The consort of radha; Lord Krishna,M
Raahi,   Traveller,M
Raajaa,   King,M
Raajeev,   Blue lotus,M
Raakaa,   Day of the full moon,M
Raakesh,   Lord of the night,M
Raakin,   Respectful,M
Raam,   Lord Rama; God; Supreme spirit,M
Raatib,   Arranger,M
Rabah,   Gainer,M
Rabee,   Spring,M
Rachit,   Invention,M
Radhak,   Liberal,M
Radhakanta,   Lord Krishna,M
Radhesh,   Lord Krishna,M
Radheshyam,   Lord Krishna,M
Radhey,   Karna,M
Radheya,   Karna,M
Radhiyaa,   Content; Satisfied,M
Raghotham,   Greatest of all,M
Raghu,   The family of Lord Rama,M
Raghubir,   Lord Rama,M
Raghunath,   Lord Rama,M
Raghupati,   Lord Rama,M
Raghuram,   Lord Rama,M
Raghuvansh,   One with the qualities of Lord Rama,M
Raghuveer,   Lord Rama,M
Raghuvir,   Lord Rama,M
Rahas,   Secret,M
Raheel,   One who shows the way,M
Raheem,   Merciful,M
Rahi,   Traveller,M
Rahil,   Traveller,M
Rajan,   King,M
Rajani,   Night,M
Rajanikant,   Sun; Lord of night,M
Rajanya,   Kingly,M
Rajarshi,   King's sage,M
Rajas,   Mastery; Fame; Pride,M
Rajat,   Silver,M
Rajdeep,   Best of Kings,M
Rajdulari,   Dear princess,M
Rajeet,   Decorated,M
Rajeev,   Blue lotus,M
Rajender,   Lord of Kings; Emperor,M
Rajendra,   King,M
Rajesh,   God of kings,M
Rajesha,   God of kings; Emperor,M
Rajhans,   Celestial swan,M
Raji,   Compromise,M
Rajinder,   Spontaneous,M
Rajit,   Decorated,M
Rajiv,   Lotus flower,M
Rajkumar,   Prince,M
Rajnish,   Moon,M
Rajrishi,   King's sage,M
Raju,   Prosperity,M
Rajul,   Brilliant,M
Rajveer,   National hero,M
Rajyeshwar,   King,M
Rakesh,   The moon; Lord of the night; Sun,M
Rakishi,   Wide load,M
Raksha,   The moon; Protection,M
Rakshak,   Rescue,M
Rakshan,   Protector,M
Rakshit,   Guarded; Secure; Saved,M
Raktakamal,   A red lotus,M
Ram,   Lord Rama; Pleasing; Charming; One who pleases,M
Ramadeep,   Lord Rama,M
Ramadhuta,   Ambassador of Rama,M
Ramadut,   Lord Hanuman,M
Ramakaant,   Lord Vishnu,M
Ramakanta,   Lord Vishnu,M
Raman,   Beloved; Pleasing; Cupid,M
Ramandeep,   Absorbed in the light of Lord's love,M
Ramanuj,   Lord Krishna; Lord Laxman,M
Ramanuja,   Lord Krishna; Born after Rama; Lakshman,M
Ramashray,   Lord Vishnu; Protected by Rama,M
Ramavatar,   Reincarnation of Lord Rama,M
Ramchandra,   Lord Rama,M
Ramdas,   Devotee of Rama,M
Ramees,   Winter,M
Ramesh,   Lord Vishnu,M
Rameshwar,   Lord Shiva,M
Ramith,   Loved,M
Ramneek,   Pleasing moment,M
Ramoji,   Lord Rama,M
Ramon,   Wise Protector,M
Ramprasad,   Lord Rama,M
Rampratap,   Lord Rama,M
Ramratan,   Lord Rama,M
Ramu,   Lord sriram,M
Rana,   Joy; Jewel; To gaze; Look,M
Ranadeva,   Lord of Battles,M
Ranadhira,   Patient in battle,M
Ranajay,   Victorious,M
Ranajit,   Victorious,M
Ranak,   King,M
Randal,   Sheild Wolf,M
Randeep,   The hero of the battle,M
Randhir,   Brave,M
Ranesh,   Lord Shiva,M
Rangan,   A flower,M
Ranganath,   Lord Vishnu,M
Rangesh,   Lord Vishnu,M
Rangith,   Well couloured,M
Ranish,   Shiv,M
Ranjan,   Pleasing,M
Ranjeet,   Victor in wars,M
Ranjit,   Victorious,M
Ranjiv,   Victorious,M
Rantidev,   Devotee of Narayana,M
Ranveer,   Winner,M
Rasaraj,   Mercury,M
Rasbihari,   Lord Krishna,M
Rasesh,   Lord Krishna,M
Rashad,   Integrity of conduct,M
Rashid,   Rightly guided; Having the true Faith,M
Rashmi,   Sun Rays,M
Rashmil,   Silken,M
Rashv,   Love symbol,M
Rasik,   Connoisseur,M
Rasmaru,   Lord Krishna,M
Rasul,   Angel,M
Ratan,   Precious stone,M
Ratanakar,   Precious stone,M
Ratannabha,   Lord Vishnu,M
Rathik,   One who rides a chariot,M
Rathin,   Celestial,M
Ratish,   Cupid,M
Ratnabhu,   Lord Vishnu,M
Ratnadeep,   Gem of Gems,M
Ratnakar,   Mine of jewels; Sea,M
Ratnanidhi,   Lord Vishnu,M
Ratnesh,   Lord of jewels; Diamond,M
Ratri,   Night,M
Ratul,   Sweet,M
Raudra,   Son of Shiva - Kartikeya,M
Raunak,   Pride and Glory,M
Ravana,   The raksasa King of Lanka,M
Raveesh,   Lord of the Sun,M
Raven,   A Bird,M
Ravi,   Sun,M
Ravikanth,   Ray of sun,M
Ravikiran,   Sun ray,M
Ravin,   Sun,M
Ravinandan,   Karna,M
Ravindra,   Sun,M
Ravinshu,   Kamdev; Cupid,M
Ravish,   Sun,M
Ravisharan,   Surrender,M
Ravishu,   Cupid,M
Ravit,   Sun,M
Raviteja,   Glow of sun,M
Ravoof,   Slavery of love,M
Ray,   Beam of light,M
Rayan,   Doorman of heaven,M
Rayirth,   Lord Brahma,M
Raz,   Secret,M
Rhythm,   Music; Insequence,M
Rian,   Little king,M
Ricardo,   Brave and strong,M
Ricky,   Lucky,M
Riddhiman,   Possessed of good fortune,M
Ridha,   Contentment,M
Ridhaan,   A defibrillator for all climates,M
Ridhwan,   Acceptance; Good will,M
Ridit,   World known,M
Riju,   Innocent,M
Rijul,   Innocent,M
Rijwal,   Bright,M
Rikhil,   Eternity; ETERNAL,M
Rinkesh,   Name of God Shiva,M
Ripu,   Enemy,M
Ripudaman,   Killer of enemies,M
Ripunjya,   To win over enemy,M
Rishaan,   Lord Shiva; Spirituality,M
Rishab,   Morality,M
Rishabh,   Second note of octave; Morality,M
Rishal,   Good structure,M
Rishan,   Good human being,M
Rishi,   Sage; Ray of light,M
Rishikesh,   Lord Vishnu,M
Rishit,   The best,M
Rishvanjas,   Lord Indra,M
Ritesh,   Lord of truth,M
Rithick,   Stream,M
Rithik,   Stream,M
Rithul,   Truth seeking,M
Rithwik,   Saint,M
Riti,   Motion,M
Ritik,   Sucesses in life,M
Ritish,   Lord of Love,M
Rituparan,   Joyous,M
Rituraaj,   King of seasons,M
Rituraj,   Spring,M
Ritvik,   Priest,M
Ritwik,   Moon,M
Riyadh,   Gardens,M
Roca,   Radiant,M
Rochak,   Tasty,M
Rochan,   Red lotus; Bright,M
Roger,   Fame,M
Rohak,   Rising,M
Rohan,   Ascending,M
Rohanlal,   Lord Krishna,M
Rohinish,   Moon,M
Rohit,   Red,M
Rohitasva,   Sone of King Harishchandra,M
Rohtak,   Sun,M
Rolf,   Swift wolf,M
Romesh,   God of Rama,M
Romila,   Heartfelt,M
Romin,   Arrow Fish,M
Romir,   Interesting,M
Ronak,   Embellishment,M
Ronald,   Powerful Might,M
Ronit,   Bright; Shining,M
Ronsher,   Lion of the Battlefield,M
Roopak,   Dramatic composition,M
Roopesh,   Beauty of lord shiva,M
Roshan,   Illumination,M
Rowan,   Red,M
Ru,   God,M
Ruan,   Raising,M
Ruben,   Lucky,M
Ruchir,   Beautiful,M
Ruchit,   Bright; Shining; Pleasant,M
Rudhav,   Ganesh,M
Rudr,   Fearsome; Name of Lord Shiva,M
Rudra,   Lord Shiva,M
Rudraksh,   Fierce eyed,M
Rudraksha,   Shiva wear the locket,M
Rudransh,   Shiva's ansh,M
Rudrapriya,   Beloved of Shiva,M
Rudrayan,   Time of lord shiva,M
Rugved,   One part from vedas,M
Ruhan,   Spiritual,M
Rujul,   Simple; Honest,M
Rukm,   Gold,M
Rukma,   Radiant; Sun,M
Rukminesh,   Lord Krishna,M
Rupak,   Sign; Feature; Beautiful,M
Rupang,   Beautiful,M
Rupendra,   Lord of the form,M
Rupesh,   Lord of beauty,M
Rupeshwar,   Lord of the form,M
Rupin,   Embodied beauty,M
Rush,   Red haired,M
Rushaan,   Light,M
Rushabh,   Decoration,M
Rushan,   Illuminated,M
Rusheek,   Son of Saint,M
Rushi,   Saint; Wise; Advisor,M
Rushikesh,   Name of Lord Shiva,M
Rushil,   Charming,M
Rustam,   Large; Very tall,M
Rustom,   Warrior,M
Rutajit,   Conquerer of truth,M
Rutesh,   Kind of Seasons,M
Ruthvik,   Saint,M
Rutik,   Joy; Richness,M
Rutujit,   Conquerer of seasons; Conquerer of truth,M
Rutva,   Speech,M
Rutveg,   Can travel in all climatic conditions,M
Ruwan,   Gold,M
Rwiju,   Straight; Erected,M
Ryan,   Descendant of Rian; King,M
Rydle,   Horse rider,M
Ryna,   King,M
Saabir,   Patient,M
Saad,   Good luck,M
Saahid,   Wakeful,M
Saahil,   Sea shore,M
Saahir,   Wakeful,M
Saajid,   One who worships God,M
Saakaar,   Manifestation of god,M
Saalih,   Good; Righteous,M
Saanjh,   Evening,M
Saaras,   Swan,M
Saariyah,   Clouds at night,M
Saarth,   Meaningful,M
Saatatya,   Never ending,M
Saatvik,   Pious,M
Saaz,   Melody,M
Sabal,   With strength,M
Sabar,   Nectar,M
Sabarish,   Lord Iyyappan,M
Sabeeh,   Beautiful,M
Sabhajit,   Honoured praised celebrated,M
Sabhya,   Refined,M
Sabrang,   Rainbow,M
Sabyasachi,   Lord Arjun,M
Sachan,   Friendly,M
Sachchit,   Lord Brahma,M
Sachet,   Consciousness,M
Sachetan,   Animated; Rational,M
Sachh,   The truth,M
Sachin,   Lord Indra,M
Sachint,   Thoughtful,M
Sachish,   Lord Indra,M
Sachisth,   Most powerful helpful,M
Sachit,   Consciousness,M
Sachiv,   Friend,M
Sadabindu,   Lord Vishnu,M
Sadaiappan,   Lord Siva,M
Sadajit,   Always victorious,M
Sadanand,   Ever joyous,M
Sadar,   Respectful,M
Sadashiv,   Pure,M
Sadashiva,   Eternally pure,M
Sadavir,   Ever courageous,M
Saddhan,   With money,M
Sadeepan,   Lighted up,M
Sadeeq,   Trustworthy,M
Sadgun,   Virtues,M
Sadhan,   Pocessing,M
Sadhil,   Perfect,M
Sadhin,   To accomplish,M
Sadhuj,   Good conduct,M
Sadiksha,   Good intention,M
Sadiq,   Kingly,M
Sadiva,   Eternal,M
Sadru,   Lord Vishnu,M
Saeed,   Priestly,M
Safal,   Succeed,M
Saffar,   Coppersmith,M
Safiy,   Best friend,M
Safwan,   Old Arabic name; Rocks,M
Sagaj,   Natural,M
Sagan,   Lord Shiva,M
Sagar,   Sea; Ocean,M
Sagma,   Powerful; Mighty; Strong,M
Sagni,   Sacred fire,M
Sagun,   Possessed of qualities,M
Sagurik,   Capable; Energetic,M
Sahadev,   Prince,M
Sahaj,   Natural,M
Sahaman,   Victorious,M
Sahanj,   A king,M
Sahar,   Sun; Dawn,M
Sahara,   Lord Shiva,M
Saharsh,   With joy,M
Sahas,   Bravery,M
Sahasan,   Powerful; Mighty,M
Sahasanu,   Patient,M
Sahasin,   Powerful; Mighty,M
Sahaskrit,   Bestowing strength; Power,M
Sahasrad,   Lord Shiva,M
Sahasvat,   Full of valour; Victorious,M
Sahasya,   Mighty,M
Sahat,   Stong,M
Sahaujas,   Endowed with strength or power,M
Sahavan,   Possessing strength; Mighty,M
Sahay,   Help,M
Sahaya,   Lord Shiva,M
Sahayu,   Victorious,M
Sahdev,   One of the Pandava princes,M
Sahen,   Falcon,M
Sahendra,   Resembling God Indra in power,M
Sahib,   The lord,M
Sahil,   Guide,M
Sahir,   Magician,M
Sahishnu,   Lord Vishnu,M
Sahisht,   Strongest; Most powerful,M
Sahit,   Bounded,M
Sahith,   Literature,M
Sahodar,   Brother,M
Sahoj,   Full of strength,M
Sahojit,   Victorious by strength,M
Sahor,   Good excellent pious,M
Sahovan,   Mighty superior,M
Sahuri,   Victorious strong,M
Sai,   Flower; Everywhere,M
Saiamartya,   Immortal; Shirdi Sai Baba,M
Saibya,   Belonging to Lord Shiva,M
Saideep,   A Name for Sai Baba,M
Saif,   Caring,M
Saikat,   Beach,M
Sailesh,   King of mountains,M
Sainath,   Saibaba,M
Saipraasad,   Blessing,M
Saiprasad,   Guide; River bank,M
Saipratap,   Blessing of Saibaba,M
Sairam,   Blessing of Saibaba,M
Saisamarth,   Name of Sai Baba,M
Saish,   Lord saibaba and shiv,M
Sajal,   Moist,M
Sajan,   Beloved,M
Sajitvan,   Victorious superior,M
Sajiv,   Lively,M
Sajiva,   Full of life,M
Sajjan,   Noble respectable,M
Saju,   Travelling,M
Sakal,   All whole perfect,M
Sakash,   Illumination,M
Sakelshwar,   Lively,M
Sakesh,   Lord vishnu,M
Saket,   Llrd Krishna,M
Saksham,   Capable,M
Sakshik,   Witness,M
Sakshum,   Skillful,M
Salah,   Righteousness,M
Salaman,   High,M
Salarjung,   Beautiful,M
Saleem,   Healthy,M
Salem,   Safe,M
Salil,   Water,M
Salim,   Happy; Peaceful,M
Salman,   Safe,M
Salokh,   Friendship,M
Salvador,   The Saviour,M
Sam,   Strong person,M
Sama,   Equal,M
Samaah,   Generosity,M
